name,state,method,model_family,scenario,seed,target_component,target_depth,AA,BWT,AF,FWT,trainable_params,total_params,mean_time_per_task_s,peak_gpu_mem_mb,target
cil_cord_lwf_seed7,finished,lwf,layoutlmv3,cil_cord,7,,,18.775510204081634,-93.52190146462102,93.52190146462102,-94.14632347512081,125373885,125373885,359.98539394596594,20893.7255859375,
cil_cord_naive_seed123,finished,naive,layoutlmv3,cil_cord,123,,,19.076923076923077,-93.65074917784685,93.65074917784685,-94.14632347512081,125373885,125373885,594.8196452979995,10533.34033203125,
cil_cord_naive_seed123_bert,finished,bert_textonly,bert,cil_cord,123,,,19.19191919191919,-93.88608553585625,93.88608553585625,-94.14632347512081,108938557,108938557,435.78350160459524,6240.55712890625,
cil_cord_naive_seed42,finished,naive,layoutlmv3,cil_cord,42,,,18.78787878787879,-93.81168233927477,93.81168233927477,-94.14632347512081,125373885,125373885,677.7813572694001,10533.34033203125,
cil_cord_naive_seed42_bert,finished,bert_textonly,bert,cil_cord,42,,,19.393939393939394,-92.73031141969705,92.73031141969705,-94.14632347512081,108938557,108938557,421.82180705661887,6240.55712890625,
cil_cord_naive_seed7,finished,naive,layoutlmv3,cil_cord,7,,,19.076923076923077,-93.69623880470445,93.69623880470445,-94.14632347512081,125373885,125373885,570.9485570726007,10533.34033203125,
cil_cord_naive_seed7_bert,finished,bert_textonly,bert,cil_cord,7,,,19.2,-93.95555202373384,93.95555202373384,-94.14632347512081,108938557,108938557,524.8191642261925,6240.55712890625,
cil_cord_o_lora_seed123,finished,o_lora,layoutlmv3,cil_cord,123,,,14.218009478672986,-39.262158560959364,39.262158560959364,-94.14632347512081,489277,125816253,2530.5483843412017,3650.9228515625,
cil_cord_o_lora_seed42,finished,o_lora,layoutlmv3,cil_cord,42,,,0.0,-36.194448501586706,36.194448501586706,-94.14632347512081,489277,125816253,1560.687252956198,3650.9228515625,
cil_cord_o_lora_seed7,finished,o_lora,layoutlmv3,cil_cord,7,,,0.0,-32.63347840882632,32.63347840882632,-94.14632347512081,489277,125816253,1261.5203169603833,3650.9228515625,
cil_wildreceipt_coda_prompt_seed123,finished,coda_prompt,layoutlmv3,cil_wildreceipt,123,,,7.114702404414663,-11.73724842471862,11.73724842471862,-83.28509194575128,91441,125364657,1770.6430332828313,3675.92724609375,
cil_wildreceipt_coda_prompt_seed42,finished,coda_prompt,layoutlmv3,cil_wildreceipt,42,,,7.299843014128729,-33.82534389930072,33.82534389930072,-84.82600039312688,91441,125364657,4280.753951923922,16846.2431640625,
cil_wildreceipt_coda_prompt_seed7,finished,coda_prompt,layoutlmv3,cil_wildreceipt,7,,,7.961666052340583,-8.751625047754343,8.751625047754343,-84.04491612784716,91441,125364657,2603.288633242715,16846.2431640625,
cil_wildreceipt_der_pp_seed123,finished,der_pp,layoutlmv3,cil_wildreceipt,123,,,20.43732282291131,-83.71228086115134,83.71228086115134,-85.18800858594388,125364657,125364657,648.9496249796357,35537.8662109375,
cil_wildreceipt_der_pp_seed42,finished,der_pp,layoutlmv3,cil_wildreceipt,42,,,19.874508847815626,-84.58900071972782,84.58900071972782,-85.18800858594388,125364657,125364657,764.0450502526946,35537.8662109375,
cil_wildreceipt_der_pp_seed7,finished,der_pp,layoutlmv3,cil_wildreceipt,7,,,20.431513030690002,-83.55331810728677,83.55331810728677,-85.18800858594388,125364657,125364657,644.2351138902595,35537.8662109375,
cil_wildreceipt_doccl_seed42,finished,doccl,layoutlmv3,cil_wildreceipt,42,,all,18.916594272777242,-81.97828744356038,81.97828744356038,-85.18800858594388,125364657,125364657,2063.523768502484,6851.4755859375,all
cil_wildreceipt_doccl_seed7,finished,doccl,layoutlmv3,cil_wildreceipt,7,,all,18.81618254294358,-82.49462393717188,82.49462393717188,-85.18800858594388,125364657,125364657,2525.6950553112256,6851.4755859375,all
cil_wildreceipt_dualprompt_seed123,finished,dualprompt,layoutlmv3,cil_wildreceipt,123,,,10.634328358208954,-5.791771197869657,5.791771197869657,-84.6295459502232,46129,125364657,2373.2674871184863,3674.8544921875,
cil_wildreceipt_dualprompt_seed42,finished,dualprompt,layoutlmv3,cil_wildreceipt,42,,,10.681431005110731,-6.1638522365684265,6.1638522365684265,-84.7611778545994,46129,125364657,2322.904353981372,3674.8544921875,
cil_wildreceipt_dualprompt_seed7,finished,dualprompt,layoutlmv3,cil_wildreceipt,7,,,10.935374149659866,-4.656511523691841,4.656511523691841,-83.65097400266575,46129,125364657,2826.218286656309,3674.8544921875,
cil_wildreceipt_er_seed123,finished,er,layoutlmv3,cil_wildreceipt,123,,,19.755918316891197,-80.6718579094866,80.6718579094866,-85.18800858594388,125364657,125364657,545.1860064961948,27142.83544921875,
cil_wildreceipt_er_seed42,finished,er,layoutlmv3,cil_wildreceipt,42,,,19.92643302664282,-78.1483724219818,78.1483724219818,-85.18800858594388,125364657,125364657,506.98444908868987,27142.83544921875,
